Score,Grade
1,F
2,F
3,F
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,F
17,F
18,F
19,F
20,F
21,F
22,F
23,F
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,E
41,E
42,E
43,E
44,E
45,D
46,D
47,D
48,D
49,D
50,C
51,C
52,C
53,C
54,C
55,C
56,C
57,C
58,C
59,C
60,B
61,B
62,B
63,B
64,B
65,B
66,B
67,B
68,B
69,B
70,A
71,A
72,A
73,A
74,A
75,A
76,A
77,A
78,A
79,A
80,A
81,A
82,A
83,A
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,A
92,A
93,A
94,A
95,A
96,A
97,A
98,A
99,A
100,A
